id;Code Commune;Nom Commune;Code EPCI;Nom EPCI;Code Departement;Nom Departement;Code Region;Nom Region;Geo Shape;Geo Point;X;Y
102;35037;Breal-sous-Montfort;243500618;CC Broceliande Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.886200161916231, 48.06720852180538]}";48.06720852180538, -1.886200161916231;336283,5764;6785349,189
103;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.730595333022457, 48.106830003729115]}";48.106830003729115, -1.7305953330224575;348115,9461;6789039,013
104;35037;Breal-sous-Montfort;243500618;CC Broceliande Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.897437586262095, 48.04282772129849]}";48.04282772129849, -1.8974375862620951;335280,2304;6782696,878
105;35037;Breal-sous-Montfort;243500618;CC Broceliande Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.889487061831295, 48.05365881442254]}";48.05365881442254, -1.8894870618312951;335946,0427;6783861,489
106;35189;Montgermont;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.7207358243666, 48.15574782276121]}";48.15574782276121, -1.7207358243665998;349173,2823;6794421,727
107;35031;La Bouexiere;243500774;CC Liffre-Cormier Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.466082135320933, 48.15102024154471]}";48.15102024154471, -1.466082135320933;368047,6928;6792796,242
108;35051;Cesson-Sevigne;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.600581001432832, 48.09458420067593]}";48.09458420067593, -1.6005810014328319;357696,6833;6787109,018
109;35051;Cesson-Sevigne;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.626944724388415, 48.120636186970486]}";48.120636186970486, -1.6269447243884154;355906,8959;6790113,817
110;35024;Betton;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.639085347247672, 48.17746701098138]}";48.17746701098138, -1.639085347247672;355375,9108;6796471,673
111;35040;Breteil;243500550;CC Montfort Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.916634957762052, 48.15238045500988]}";48.15238045500988, -1.9166349577620523;334609,9783;6794936,633
112;35126;Guichen;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.804741972885939, 47.98550531998043]}";47.98550531998043, -1.804741972885939;341787,4563;6775914,716
113;35126;Guichen;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.778286966543505, 48.000032940609636]}";48.000032940609636, -1.7782869665435055;343854,9963;6777406,412
114;35051;Cesson-Sevigne;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.617461033392578, 48.143408858223324]}";48.143408858223324, -1.617461033392578;356759,2733;6792598,972
115;35051;Cesson-Sevigne;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.590281820727803, 48.11188836881093]}";48.11188836881093, -1.590281820727803;358573,8489;6788984,177
116;35051;Cesson-Sevigne;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.608509445279741, 48.114523201293665]}";48.114523201293665, -1.6085094452797408;357236,6906;6789355,459
117;35126;Guichen;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.761463640963054, 47.9694805291749]}";47.9694805291749, -1.761463640963054;344902,7871;6773941,82
118;35118;Gahard;243500667;CC Val d'Ille-Aubigne;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.559666305298303, 48.26387089753171]}";48.26387089753171, -1.559666305298303;361823,3058;6805714,81
119;35120;Geveze;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.814843328814372, 48.2394890957902]}";48.2394890957902, -1.8148433288143722;342755,3025;6804133,435
120;35126;Guichen;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.807243759773786, 47.95488248355224]}";47.95488248355224, -1.807243759773786;341394,1331;6772529,561
121;35023;Bedee;243500550;CC Montfort Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.924602421184104, 48.21264252010321]}";48.21264252010321, -1.924602421184104;334436,0396;6801657,766
122;35023;Bedee;243500550;CC Montfort Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.940195912889797, 48.182766086167106]}";48.182766086167106, -1.940195912889797;333072,4096;6798416,201
123;35051;Cesson-Sevigne;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.618498544198288, 48.100031448188375]}";48.100031448188375, -1.6184985441982878;356400,444;6787791,154
124;35051;Cesson-Sevigne;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.609484025235439, 48.109663680788145]}";48.109663680788145, -1.6094840252354385;357132,7802;6788820,57
125;35120;Geveze;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.800394900854067, 48.22120323776273]}";48.22120323776273, -1.8003949008540665;343702,53;6802039,644
126;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.658066631144021, 48.09444014607209]}";48.09444014607209, -1.6580666311440206;353423,4895;6787343,793
127;35126;Guichen;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.760355610188927, 47.93425555184641]}";47.93425555184641, -1.760355610188927;344749,4938;6770029,792
128;35126;Guichen;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.79578913720897, 47.98173359328081]}";47.98173359328081, -1.79578913720897;342428,6645;6775455,795
129;35126;Guichen;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.757214665135002, 47.97414088392678]}";47.97414088392678, -1.7572146651350016;345250,4611;6774439,641
130;35206;Noyal-Chatillon-sur-Seiche;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.630787224270215, 48.034608125814806]}";48.034608125814806, -1.6307872242702153;355061,1326;6780586,904
131;35238;Rennes;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.710897701427458, 48.108898221520946]}";48.108898221520946, -1.7108977014274582;349593,1108;6789180,848
132;35126;Guichen;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.765697093276582, 47.93316423652425]}";47.93316423652425, -1.7656970932765819;344344,045;6769932,793
133;35126;Guichen;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.782173595072658, 47.98918373938741]}";47.98918373938741, -1.7821735950726578;343492,6957;6776220,577
134;35206;Noyal-Chatillon-sur-Seiche;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.657828509211814, 48.04373573135197]}";48.04373573135197, -1.6578285092118141;353109,0037;6781717,915
135;35206;Noyal-Chatillon-sur-Seiche;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.674689031187094, 48.07153469884778]}";48.07153469884778, -1.674689031187094;352037,5617;6784875,902
136;35206;Noyal-Chatillon-sur-Seiche;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.656101491687442, 48.07596898169529]}";48.07596898169529, -1.6561014916874421;353448,5657;6785286,069
137;35059;La Chapelle-des-Fougeretz;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.745680345510005, 48.17477436111609]}";48.17477436111609, -1.745680345510005;347448,7351;6796643,528
138;35059;La Chapelle-des-Fougeretz;243500139;Rennes Metropole;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.730679278844875, 48.18134603967106]}";48.18134603967106, -1.7306792788448746;348605,5409;6797305,691
139;35126;Guichen;200043990;CC Vallons de Haute-Bretagne Communaute;35;Ille-et-Vilaine;53;Bretagne;"{""type"": ""Point"", ""coordinates"": [-1.834927279908883, 47.97117319878342]}";47.97117319878342, -1.8349272799088832;339442,3718;6774462,472
